id,GEOID10,Total:,Speak only English,Spanish or Spanish Creole:,"Speak English ""very well""","Speak English less than ""very well""","French (incl. Patois, Cajun):",French Creole:,Italian:,Portuguese or Portuguese Creole:,German:,Yiddish:,Other West Germanic languages:,Scandinavian languages:,Greek:,Russian:,Polish:,Serbo-Croatian:,Other Slavic languages:,Armenian:,Persian:,Gujarati:,Hindi:,Urdu:,Other Indic languages:,Other Indo-European languages:,Chinese:,Japanese:,Korean:,"Mon-Khmer, Cambodian:",Hmong:,Thai:,Laotian:,Vietnamese:,Other Asian languages:,Tagalog:,Other Pacific Island languages:,Navajo:,Other Native North American languages:,Hungarian:,Arabic:,Hebrew:,African languages:,Other and unspecified languages:,"$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",ApproxAvgIncome,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,LI_AVG,RB_CUSTMR
37,42101003001,1539,1910,255,0,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,347,32,0,179,0,0,220,547,0,181,34,0,0,0,0,0,0,0,92,74,175,76,209,149,50,86,100,123,158,30,19,18,0,42008.83002,2.34,2.53,3.17,2.42,3.1,1.85,1.81,2.19,2.52,2.03,1.49,2.1,2.295833333,254
304,42101032900,1661,3179,398,0,0,0,0,11,12,13,0,0,0,26,0,10,0,11,0,0,0,0,0,0,0,177,0,7,0,0,0,0,0,77,15,0,0,0,0,0,0,0,0,240,152,74,106,111,123,99,27,155,183,173,13,31,35,0,41885.67674,1.41,1.68,1.7,1.8,1.55,1.56,1.59,1.09,1.54,1.25,1.21,1.13,1.459166667,295
177,42101018001,1016,1936,21,0,0,24,0,0,0,10,0,0,0,0,0,31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,31,35,179,91,29,143,69,20,47,46,104,69,0,0,0,41755.50406,2.7,3.2,2.8,2.9,2.6,2,2.3,3,3.1,1.8,1.6,1.65,2.470833333,209
302,42101032500,2094,4958,366,0,0,29,161,14,0,0,0,0,0,0,48,0,0,14,0,0,0,0,20,0,0,58,0,0,28,0,0,0,0,0,26,0,0,0,0,0,0,0,0,198,116,133,165,234,193,126,130,206,105,158,92,22,24,0,41624.60568,1.7,2.2,1.8,1.9,1.7,1.8,1.5,1,1.5,1.3,1.4,1.07,1.5725,461
183,42101019100,2636,3102,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,90,0,0,0,0,0,0,516,0,23,0,0,0,0,231,0,0,0,286,169,171,287,54,138,118,154,218,297,212,68,30,0,11,41328.51333,2.5,2.47,2.31,2.49,2.11,2.14,2.43,2.9,3.26,1.99,1.72,1.59,2.325833333,578
222,42101024400,984,2528,161,0,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,89,10,59,128,54,20,71,80,117,74,0,12,7,0,41315.12071,2.1,2.59,2.31,2.4,2.1,2.5,2.5,2,2.4,2.09,1.79,2.02,2.233333333,177
192,42101020102,1347,2990,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,78,139,17,187,0,119,16,208,79,86,58,0,0,6,41250,2.1,2.6,2.3,2.4,2.1,2.5,2.5,2,2.4,2.1,1.8,2.03,2.235833333,260
273,42101029300,956,1479,967,0,0,7,0,41,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,131,0,104,40,62,15,38,28,78,58,11,14,25,0,41045.32164,2.4,1.93,2.78,1.9,2.39,2.21,1.31,1.4,3.3,1.78,1.99,1.32,2.059166667,180
301,42101032300,1323,2488,290,0,0,0,0,0,42,0,0,0,0,0,0,7,0,17,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,45,50,164,82,84,62,91,190,69,109,51,0,0,0,41033.09481,1.91,2.27,1.98,1.94,1.86,1.96,1.52,1.14,2.01,1.37,1.51,1.13,1.716666667,271
145,42101015101,933,1939,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,80,22,41,55,29,69,49,37,81,39,0,0,0,16,40948.27586,2.42,2.74,2.87,2.17,2.6,2.2,3.17,2.9,3.6,2.65,2.18,2.86,2.696666667,174
