geoid,name,B16001001 - Total:,B16001002 - Speak only English,B16001003 - Spanish or Spanish Creole:,"B16001004 - Speak English ""very well""","B16001005 - Speak English less than ""very well""","B16001006 - French (incl. Patois, Cajun):","B16001007 - Speak English ""very well""","B16001008 - Speak English less than ""very well""",B16001009 - French Creole:,"B16001010 - Speak English ""very well""","B16001011 - Speak English less than ""very well""",B16001012 - Italian:,"B16001013 - Speak English ""very well""","B16001014 - Speak English less than ""very well""",B16001015 - Portuguese or Portuguese Creole:,"B16001016 - Speak English ""very well""","B16001017 - Speak English less than ""very well""",B16001018 - German:,"B16001019 - Speak English ""very well""","B16001020 - Speak English less than ""very well""",B16001021 - Yiddish:,"B16001022 - Speak English ""very well""","B16001023 - Speak English less than ""very well""",B16001024 - Other West Germanic languages:,"B16001025 - Speak English ""very well""","B16001026 - Speak English less than ""very well""",B16001027 - Scandinavian languages:,"B16001028 - Speak English ""very well""","B16001029 - Speak English less than ""very well""",B16001030 - Greek:,"B16001031 - Speak English ""very well""","B16001032 - Speak English less than ""very well""",B16001033 - Russian:,"B16001034 - Speak English ""very well""","B16001035 - Speak English less than ""very well""",B16001036 - Polish:,"B16001037 - Speak English ""very well""","B16001038 - Speak English less than ""very well""",B16001039 - Serbo-Croatian:,"B16001040 - Speak English ""very well""","B16001041 - Speak English less than ""very well""",B16001042 - Other Slavic languages:,"B16001043 - Speak English ""very well""","B16001044 - Speak English less than ""very well""",B16001045 - Armenian:,"B16001046 - Speak English ""very well""","B16001047 - Speak English less than ""very well""",B16001048 - Persian:,"B16001049 - Speak English ""very well""","B16001050 - Speak English less than ""very well""",B16001051 - Gujarati:,"B16001052 - Speak English ""very well""","B16001053 - Speak English less than ""very well""",B16001054 - Hindi:,"B16001055 - Speak English ""very well""","B16001056 - Speak English less than ""very well""",B16001057 - Urdu:,"B16001058 - Speak English ""very well""","B16001059 - Speak English less than ""very well""",B16001060 - Other Indic languages:,"B16001061 - Speak English ""very well""","B16001062 - Speak English less than ""very well""",B16001063 - Other Indo-European languages:,"B16001064 - Speak English ""very well""","B16001065 - Speak English less than ""very well""",B16001066 - Chinese:,"B16001067 - Speak English ""very well""","B16001068 - Speak English less than ""very well""",B16001069 - Japanese:,"B16001070 - Speak English ""very well""","B16001071 - Speak English less than ""very well""",B16001072 - Korean:,"B16001073 - Speak English ""very well""","B16001074 - Speak English less than ""very well""","B16001075 - Mon-Khmer, Cambodian:","B16001076 - Speak English ""very well""","B16001077 - Speak English less than ""very well""",B16001078 - Hmong:,"B16001079 - Speak English ""very well""","B16001080 - Speak English less than ""very well""",B16001081 - Thai:,"B16001082 - Speak English ""very well""","B16001083 - Speak English less than ""very well""",B16001084 - Laotian:,"B16001085 - Speak English ""very well""","B16001086 - Speak English less than ""very well""",B16001087 - Vietnamese:,"B16001088 - Speak English ""very well""","B16001089 - Speak English less than ""very well""",B16001090 - Other Asian languages:,"B16001091 - Speak English ""very well""","B16001092 - Speak English less than ""very well""",B16001093 - Tagalog:,"B16001094 - Speak English ""very well""","B16001095 - Speak English less than ""very well""",B16001096 - Other Pacific Island languages:,"B16001097 - Speak English ""very well""","B16001098 - Speak English less than ""very well""",B16001099 - Navajo:,"B16001100 - Speak English ""very well""","B16001101 - Speak English less than ""very well""",B16001102 - Other Native North American languages:,"B16001103 - Speak English ""very well""","B16001104 - Speak English less than ""very well""",B16001105 - Hungarian:,"B16001106 - Speak English ""very well""","B16001107 - Speak English less than ""very well""",B16001108 - Arabic:,"B16001109 - Speak English ""very well""","B16001110 - Speak English less than ""very well""",B16001111 - Hebrew:,"B16001112 - Speak English ""very well""","B16001113 - Speak English less than ""very well""",B16001114 - African languages:,"B16001115 - Speak English ""very well""","B16001116 - Speak English less than ""very well""",B16001117 - Other and unspecified languages:,"B16001118 - Speak English ""very well""","B16001119 - Speak English less than ""very well""",Litter_Index
14000US42101000100,"Census Tract 1, Philadelphia, PA",3183,2732,152,102,50,57,22,35,15,15,0.0000000000000000,13,13,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,21,21,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,41,41,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4,4,0.0000000000000000,13,13,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,11,11,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,46,46,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,11,11,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14,14,0.0000000000000000,11,11,0.0000000000000000,16,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,26,26,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.68245
14000US42101000200,"Census Tract 2, Philadelphia, PA",1922,844,39,30,9,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5,5,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1005,86,919,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,21,0.0000000000000000,21,8,8,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.73529
14000US42101000300,"Census Tract 3, Philadelphia, PA",3336,2655,257,142,115,20,20,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,12,12,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9,9,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8,8,0.0000000000000000,9,9,0.0000000000000000,17,17,0.0000000000000000,7,7,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,18,18,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8,8,0.0000000000000000,3,3,0.0000000000000000,144,78,66,0.0000000000000000,0.0000000000000000,0.0000000000000000,102,75,27,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,49,42,7,8,8,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,0.0000000000000000,10,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.51351
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",2219,1557,29,23,6,7,7,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,49,49,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,42,42,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,25,25,0.0000000000000000,10,10,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,29,29,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,357,19,338,28,28,0.0000000000000000,17,17,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,38,38,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,31,0.0000000000000000,31,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.3
14000US42101000402,"Census Tract 4.02, Philadelphia, PA",3002,2565,63,63,0.0000000000000000,32,15,17,0.0000000000000000,0.0000000000000000,0.0000000000000000,23,23,0.0000000000000000,45,0.0000000000000000,45,0.0000000000000000,0.0000000000000000,0.0000000000000000,30,16,14,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,47,47,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,42,42,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8,8,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,18,18,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,63,30,33,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,34,34,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.57711
14000US42101000500,"Census Tract 5, Philadelphia, PA",2187,1289,428,153,275,18,6,12,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,15,15,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,7,0.0000000000000000,7,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,10,10,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6,6,0.0000000000000000,27,11,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,19,19,0.0000000000000000,24,24,0.0000000000000000,267,72,195,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,30,30,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,15,0.0000000000000000,15,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,0.0000000000000000,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.79138
14000US42101000600,"Census Tract 6, Philadelphia, PA",1560,1258,66,66,0.0000000000000000,4,4,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,11,11,0.0000000000000000,32,6,26,18,18,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,46,46,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,64,10,54,4,0.0000000000000000,4,20,9,11,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,21,21,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.73696
14000US42101000700,"Census Tract 7, Philadelphia, PA",2650,2140,68,68,0.0000000000000000,43,15,28,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14,14,0.0000000000000000,24,24,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,12,12,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,13,13,0.0000000000000000,27,27,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,29,13,16,119,119,0.0000000000000000,33,15,18,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,77,64,13,14,0.0000000000000000,14,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,10,0.0000000000000000,27,27,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.48841
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",1617,1387,0.0000000000000000,0.0000000000000000,0.0000000000000000,13,13,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,26,26,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,29,29,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,66,66,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,10,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,15,0.0000000000000000,15,71,71,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.32258
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",3609,3218,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,31,31,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,51,0.0000000000000000,51,0.0000000000000000,0.0000000000000000,0.0000000000000000,49,0.0000000000000000,49,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,16,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,46,46,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,31,17,14,0.0000000000000000,0.0000000000000000,0.0000000000000000,19,19,0.0000000000000000,12,12,0.0000000000000000,21,21,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,87,87,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,12,12,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.3
