id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
177,42101018001,2.7,3.2,2.8,2.9,2.6,2,2.3,3,3.1,1.8,1.6,1.65,209
145,42101015101,2.42,2.74,2.87,2.17,2.6,2.2,3.17,2.9,3.6,2.65,2.18,2.86,174
169,42101017400,2.6,3.1,2.8,2.9,2.5,2.9,3.1,2.9,3.4,1.8,1.6,1.63,203
308,42101033200,1.7,2.2,1.8,1.9,1.7,1.8,1.5,1,1.5,1.3,1.4,1.07,269
174,42101017702,2.73,2.96,2.86,2.84,2.67,2.5,2.76,3.15,3.32,1.9,1.7,1.6,275
21,42101001500,2.43,2.19,3.05,1.77,2.79,2,1.51,1.34,2.92,2.05,1.05,1.44,239
115,42101011700,1.8,2.7,2.2,1.5,1.8,1.3,1.8,1.2,2,1.8,1.4,1.71,99
130,42101013601,2.5,2.06,1.6,1.34,1.35,1.24,1.6,1.35,1.69,1.68,1.63,2.13,264
127,42101013401,2.31,1.81,1.5,1.39,1.3,1.29,1.5,1.3,1.79,2.08,2.07,2.13,91
353,42101036700,1.7,1.11,1.5,1.3,1.3,1.4,1.59,1.4,1.5,1.89,1.89,1.49,200
77,42101008101,2.2,2.8,2.53,1.83,2.23,2.53,2.93,1.36,2.87,2.23,2.17,1.99,233
311,42101033500,1.5,1.9,1.6,1.7,1.3,1.2,1.1,1,1.2,1.3,1.1,1.1,230
317,42101034000,1.49,1.51,1.47,1.44,1.26,1.16,1.27,1.08,1.12,1.3,1.05,1.18,266
366,42101038400,1.4,1.3,1.6,1.59,1.1,1.1,1.79,1,1.3,1.4,1,1.2,192
120,42101012201,1.8,2.69,2.2,1.5,1.81,1.31,1.79,1.21,2.01,1.8,1.4,1.71,14
32,42101002701,2.54,2.04,2.5,1.98,2.24,1.64,1.34,1.44,3.1,2.14,1.14,1.6,204
288,42101031102,1.9,1.94,2.53,2.44,2.3,2.15,1.91,1.23,2.81,1.62,1.02,1.45,277
7,42101000700,1.48,1.47,1.77,1.43,1.62,1.21,1.61,1.26,1.35,1.96,1.99,1.94,19
135,42101014000,2.53,3.33,3.16,2.96,2.96,3.34,1.59,2.7,3.43,2.38,2.08,3.04,148
84,42101008601,2.1,2.2,2.3,1.8,2.1,2,2.2,1.3,3.4,1.7,1.4,1.99,127
297,42101031800,2.58,2.48,2.6,2.11,2.4,2.49,1.6,1.6,3.69,1.6,1.88,1.33,251
