piece,voices_p6_up,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_final_tone,stop_measure,cadence_kind,cadence_kind_before,cadence_kind_after,cadence_final_tone_before,cadence_final_tone_after,phrase_length
Puisque voulez que de vous je m'absente,None,None,27,None,D,28,Plagal,Authentic,Authentic,B-flat,D,2
Puisque voulez que de vous je m'absente,None,None,21,None,D,21,Plagal,Phrygian,Authentic,D,B-flat,1
Puisque voulez que de vous je m'absente,None,None,5,None,G,7,Authentic,Authentic,Authentic,G,G,3
Si me voyez face triste et dolente,None,None,42,None,G,47,Authentic,Authentic,None,G,None,6
Si me voyez face triste et dolente,None,None,42,None,G,43,Authentic,Authentic,None,G,None,2
Si me voyez face triste et dolente,None,None,31,None,G,32,Authentic,Authentic+Authentic+Authentic,Authentic,G+G+D,G,2
Si me voyez face triste et dolente,None,None,33,None,G,34,Authentic,Authentic,Authentic+Authentic,G,G+G,2
Si me voyez face triste et dolente,None,None,30,None,D,31,Authentic,Authentic+Authentic,Authentic,G+G,G,2
Si me voyez face triste et dolente,None,None,24,None,A,25,Phrygian,Authentic+Authentic,Authentic+Authentic,G+A,G+G,2
Si me voyez face triste et dolente,None,None,17,None,B-flat,18,Authentic,Authentic+NoCadence+Authentic,Authentic,C+None+G,G,2
Si me voyez face triste et dolente,None,None,13,None,G,14,Authentic,Authentic,CAD NDLT+Authentic+Authentic+Authentic,G,G+G+B-flat+G,2
Si me voyez face triste et dolente,None,None,6,None,B-flat,7,Plagal,NoCadence+Authentic,Authentic,None+G,G,2
Passant melancolie,None,None,21,None,None,22,NoCadence,NoCadence,Authentic,None,C,2
Passant melancolie,None,None,13,None,None,14,NoCadence,NoCadence+NoCadence,Plagal,None+None,G,2
Passant melancolie,None,None,3,None,None,4,NoCadence,None,NoCadence,None,None,2
Amour que tu me fais de mal,None,None,47,None,F,48,Authentic,None,None,None,None,2
Amour que tu me fais de mal,None,None,30,None,None,31,NoCadence,CAD NDLT+Authentic,Authentic,F+F,F,2
Amour que tu me fais de mal,None,None,27,None,F,28,Authentic,CAD NDLT,Authentic+NoCadence,F,F+None,2
Amour que tu me fais de mal,None,None,18,None,A,19,Phrygian,CAD NDLT,CAD NDLT,C,F,2
Amour que tu me fais de mal,None,None,3,None,None,5,NoCadence,None,Authentic,None,F,3
Un galland le fit et refit,None,None,37,None,C,39,Authentic,Authentic+Authentic,None,None+G,None,3
Un galland le fit et refit,None,None,35,None,None,36,Authentic,Authentic,Authentic+Authentic,C,C+C,2
Un galland le fit et refit,None,None,31,None,C,32,Authentic,Plagal,Authentic+Authentic,G,None+G,2
Un galland le fit et refit,None,None,26,None,None,27,NoCadence,Authentic,Plagal,C,G,2
Un galland le fit et refit,None,None,23,None,C,24,Authentic,Authentic+Authentic,NoCadence+Plagal,G+G,None+G,2
Un galland le fit et refit,None,None,18,None,G,20,Authentic,NoCadence,Authentic,None,C,3
Un galland le fit et refit,None,None,11,None,None,12,NoCadence,Authentic,Authentic+Authentic,C,G+G,2
Un galland le fit et refit,None,None,6,None,C,7,Authentic,NoCadence,NoCadence,None,None,2
Un galland le fit et refit,None,None,4,None,None,5,NoCadence,None,Authentic,None,C,2
O vous mes yeulx qui avez incité,None,None,28,None,C,29,Authentic,No cadence+NoCadence,None,None+None,None,2
O vous mes yeulx qui avez incité,None,None,24,None,None,25,No cadence,Authentic+Authentic,Authentic,A+A,C,2
O vous mes yeulx qui avez incité,None,None,19,None,A,21,Authentic,Authentic+CAD NDLT,No cadence+NoCadence,C+C,None+None,3
O vous mes yeulx qui avez incité,None,None,13,None,C,15,Authentic,Authentic,Authentic+Authentic,C,A+A,3
O vous mes yeulx qui avez incité,None,None,8,None,C,10,Authentic,NoCadence,Authentic+CAD NDLT,None,C+C,3
O vous mes yeulx qui avez incité,None,None,4,None,None,5,NoCadence,None,Authentic,None,C,2
Si pour amans la lune est importune,None,None,29,None,None,30,NoCadence,Authentic+CAD NDLT,Plagal,G+G,C,2
Si pour amans la lune est importune,None,None,23,None,G,25,Authentic,Authentic,NoCadence+Plagal,C,None+C,3
Si pour amans la lune est importune,None,None,19,None,C,20,Authentic,NoCadence,Authentic+CAD NDLT,None,G+G,2
Si pour amans la lune est importune,None,None,15,None,None,16,NoCadence,Authentic,Authentic,C,C,2
Si pour amans la lune est importune,None,None,8,None,C,9,Authentic,NoCadence,NoCadence,None,None,2
Si pour amans la lune est importune,None,None,4,None,None,5,NoCadence,None,Authentic,None,C,2
Sur l'aubépin qui est en fleur,None,None,9,None,D,10,Authentic,NoCadence+Authentic,NoCadence,None+D,None,2
Sur l'aubépin qui est en fleur,None,None,7,None,D,8,Authentic,NoCadence,NoCadence+Authentic,None,None+D,2
Sur l'aubépin qui est en fleur,None,None,3,None,None,4,NoCadence,None,NoCadence+Authentic,None,None+D,2
Je voudrois ce gentil clerc estre,None,None,15,None,None,16,NoCadence,Authentic+CAD NDLT,NoCadence,F+F,None,2
Je voudrois ce gentil clerc estre,S,None,12,T,F,13,CAD NDLT,NoCadence,NoCadence+NoCadence,None,None+None,2
Je voudrois ce gentil clerc estre,None,None,3,None,C,4,Plagal,None,Authentic,None,F,2
Soleil qui tout voit par ma foy,None,None,30,None,G,32,Authentic,Authentic,None,B-flat,None,3
Soleil qui tout voit par ma foy,None,None,26,None,B-flat,27,Authentic,Authentic,Authentic,G,G,2
Soleil qui tout voit par ma foy,None,None,21,None,G,22,Authentic,Authentic,Authentic,G,B-flat,2
Soleil qui tout voit par ma foy,None,None,19,None,G,20,Authentic,NoCadence,Authentic,None,G,2
Soleil qui tout voit par ma foy,None,None,17,None,None,18,NoCadence,Plagal,Authentic,D,G,2
Soleil qui tout voit par ma foy,None,None,10,None,D,11,Plagal,Authentic,NoCadence,G,None,2
Soleil qui tout voit par ma foy,None,None,6,None,G,7,Authentic,NoCadence+Authentic,Plagal,None+B-flat,D,2
Soleil qui tout voit par ma foy,None,None,5,None,B-flat,5,Authentic,NoCadence,Authentic,None,G,1
Soleil qui tout voit par ma foy,None,None,3,None,None,4,NoCadence,Plagal,Authentic+Authentic,D,B-flat+G,2
Soleil qui tout voit par ma foy,None,None,2,None,D,3,Plagal,None,NoCadence,None,None,2
Jamais amour n'aura ceste puissance,None,None,36,None,D,38,Authentic,Plagal+Phrygian,None,D+A,None,3
Jamais amour n'aura ceste puissance,None,None,31,None,D,33,Plagal,Authentic,Authentic+Authentic,G,D+D,3
Jamais amour n'aura ceste puissance,None,None,13,None,G,14,Authentic,Authentic+Authentic,Plagal+Phrygian,B-flat+B-flat,D+A,2
Jamais amour n'aura ceste puissance,None,None,5,None,B-flat,7,Authentic,None,Authentic,None,G,3
Amour se doibt figurer une rose,None,None,27,None,G,29,Authentic,Plagal,None,D,None,3
Amour se doibt figurer une rose,None,None,24,None,D,25,Plagal,Authentic,Authentic+Authentic,D,G+G,2
Amour se doibt figurer une rose,None,None,19,None,D,20,Authentic,Authentic+NoCadence,Plagal,B-flat+None,D,2
Amour se doibt figurer une rose,None,None,18,None,None,18,NoCadence,Authentic,Authentic,B-flat,D,1
Amour se doibt figurer une rose,None,None,9,None,G,11,Authentic,Phrygian,Authentic,D,B-flat,3
Amour se doibt figurer une rose,None,None,5,None,D,6,Phrygian,None,Authentic+Authentic,None,G+G,2
"Plaisir, prouffit, honneur, advancement",None,None,42,None,G,44,Authentic,Authentic+Authentic,None,B-flat+B-flat,None,3
"Plaisir, prouffit, honneur, advancement",None,None,33,None,B-flat,35,Authentic,Authentic,Authentic+Authentic,B-flat,G+G,3
"Plaisir, prouffit, honneur, advancement",None,None,30,None,B-flat,31,Authentic,NoCadence,Authentic+Authentic,None,B-flat+B-flat,2
Un bon vieillard qui n'avoit que le bec,None,None,35,None,None,36,NoCadence,Plagal,NoCadence,D,None,2
"Plaisir, prouffit, honneur, advancement",None,None,25,None,None,26,NoCadence,Authentic+Authentic,Authentic,G+G,B-flat,2
"Plaisir, prouffit, honneur, advancement",None,None,9,None,G,11,Authentic,Plagal,NoCadence,D,None,3
"Plaisir, prouffit, honneur, advancement",None,None,4,None,None,5,Authentic,None,Plagal,None,D,2
Un bon vieillard qui n'avoit que le bec,None,None,25,None,B-flat,26,Plagal,Authentic,Plagal,B-flat,B-flat,2
Un bon vieillard qui n'avoit que le bec,None,None,23,None,B-flat,24,Authentic,Authentic,Plagal+Plagal,B-flat,B-flat+B-flat,2
Un bon vieillard qui n'avoit que le bec,None,None,21,None,B-flat,22,Authentic,Authentic+Phrygian+NoCadence+Authentic,Authentic,D+A+None+D,B-flat,2
Un bon vieillard qui n'avoit que le bec,None,None,20,None,None,21,NoCadence,Authentic+Phrygian,Authentic,D+A,B-flat,2
Un bon vieillard qui n'avoit que le bec,None,None,9,None,G,11,Authentic,NoCadence+Authentic+Authentic,Authentic+Phrygian,None+D+G,D+A,3
Mon ami est en grace si parfaict,None,None,17,None,D,18,Phrygian,NoCadence+CAD NDLT+Authentic,Authentic,None+G+G,D,2
Mon ami est en grace si parfaict,None,None,15,None,G,16,Authentic,NoCadence+CAD NDLT,Phrygian,None+G,D,2
Mon ami est en grace si parfaict,None,None,8,None,G,10,Authentic,Authentic+Authentic,NoCadence+CAD NDLT,C+D,None+G,3
Mon ami est en grace si parfaict,None,None,4,None,D,4,Authentic,None,Authentic,None,G,1
Un bon vieillard qui n'avoit que le bec,None,None,42,None,G,45,Authentic,Phrygian,None,D,None,4
Un bon vieillard qui n'avoit que le bec,None,None,40,None,D,41,Phrygian,NoCadence,Authentic+Authentic,None,G+G,2
Un bon vieillard qui n'avoit que le bec,None,None,35,None,B-flat,36,Authentic,Plagal,NoCadence,D,None,2
Un bon vieillard qui n'avoit que le bec,None,None,29,None,D,30,Authentic,Plagal,Plagal,B-flat,D,2
Un bon vieillard qui n'avoit que le bec,None,None,20,None,D,20,Authentic,Authentic+Phrygian,Authentic,D+A,B-flat,1
Un bon vieillard qui n'avoit que le bec,None,None,15,None,A,15,Phrygian,Authentic+Authentic,NoCadence+Authentic+Authentic,G+G,None+D+B-flat,1
Un bon vieillard qui n'avoit que le bec,None,None,8,None,G,9,Authentic,NoCadence+Authentic,Authentic+Authentic,None+D,G+G,2
Un bon vieillard qui n'avoit que le bec,None,None,4,None,D,5,Authentic,None,Authentic+Authentic,None,G+G,2
Je suis bien aise qu'elle est belle,None,None,26,None,D,28,Authentic,Authentic,None,D,None,3
Je suis bien aise qu'elle est belle,None,None,21,None,D,22,Authentic,Plagal,Authentic,A,D,2
Je suis bien aise qu'elle est belle,None,None,18,None,A,18,Plagal,Authentic,Authentic,A,D,1
Je suis bien aise qu'elle est belle,None,None,15,None,A,16,Authentic,NoCadence,Plagal,None,A,2
Je suis bien aise qu'elle est belle,None,None,13,None,None,13,NoCadence,CadInCad,Authentic,D,A,1
Je suis bien aise qu'elle est belle,None,None,9,None,D,10,CadInCad,Authentic,NoCadence,A,None,2
Je suis bien aise qu'elle est belle,None,None,3,None,A,4,Authentic,None,CadInCad,None,D,2
"Or sus, pas je ne veulx refaire",None,None,26,None,D,28,Authentic,NoCadence,None,None,None,3
"Or sus, pas je ne veulx refaire",None,None,23,None,None,24,NoCadence,Plagal,Authentic,A,D,2
"Or sus, pas je ne veulx refaire",None,None,21,None,A,22,Plagal,Authentic,NoCadence,D,None,2
"Or sus, pas je ne veulx refaire",None,None,18,None,D,19,Authentic,Authentic,Plagal,C,A,2
"Or sus, pas je ne veulx refaire",None,None,15,None,C,16,Authentic,NoCadence,Authentic,None,D,2
"Or sus, pas je ne veulx refaire",None,None,12,None,None,13,NoCadence,Authentic,Authentic,A,C,2
"Or sus, pas je ne veulx refaire",None,None,5,None,A,6,Authentic,NoCadence,NoCadence,None,None,2
"Or sus, pas je ne veulx refaire",None,None,3,None,None,4,NoCadence,None,Authentic,None,A,2
D'un amy fainct je ne me puis deffaire,None,None,26,None,None,29,NoCadence,Authentic+Authentic,Authentic,F+F,C,4
D'un amy fainct je ne me puis deffaire,None,None,10,None,F,11,Authentic,CAD NDLT+CAD NDLT,NoCadence,C+C,None,2
D'un amy fainct je ne me puis deffaire,None,None,5,None,C,6,CAD NDLT,None,Authentic+Authentic,None,F+F,2
Un galland le fit et refit,None,None,38,None,C,39,Authentic,Authentic+Authentic,None,None+G,None,2
Un galland le fit et refit,None,None,35,None,G,36,Authentic,Authentic,Authentic+Authentic,C,C+C,2
Un galland le fit et refit,None,None,27,None,G,27,Plagal,Authentic+NoCadence,Authentic,C+None,C,1
Un galland le fit et refit,None,None,19,None,G,20,Authentic,NoCadence,Authentic,None,C,2
O vous mes yeulx qui avez incité,None,None,24,None,None,25,NoCadence,Authentic+Authentic,Authentic,A+A,C,2
O vous mes yeulx qui avez incité,None,None,20,None,A,21,Authentic,Authentic+CAD NDLT,No cadence+NoCadence,C+C,None+None,2
O vous mes yeulx qui avez incité,None,None,14,None,C,15,CAD NDLT,Authentic,Authentic+Authentic,C,A+A,2
Qui veult sçavoyr quelle est m'amye,None,None,47,None,G,48,Authentic,NoCadence+Authentic,None,None+G,None,2
D'amour me plainctz et du mal que je sens,None,None,36,None,G,38,Authentic,NoCadence,Authentic,None,G,3
D'amour me plainctz et du mal que je sens,None,None,26,None,None,26,NoCadence,Authentic,Authentic,G,G,1
D'amour me plainctz et du mal que je sens,None,None,22,None,G,23,Authentic,Phrygian+Phrygian+Authentic,NoCadence,A+A+G,None,2
D'amour me plainctz et du mal que je sens,None,None,17,None,A,19,Phrygian,Authentic,Authentic+Authentic,G,G+G,3
D'amour me plainctz et du mal que je sens,None,None,11,None,G,12,Authentic,NoCadence,Phrygian+Phrygian,None,A+A,2
D'amour me plainctz et du mal que je sens,None,None,4,None,None,5,NoCadence,Plagal,Authentic,D,G,2
La grant doulceur de vostre cler visaige,None,None,8,None,B-flat,9,Authentic,None,Authentic,None,G,2
La grant doulceur de vostre cler visaige,None,None,17,None,G,18,Authentic,Authentic,Plagal+Phrygian,B-flat,D+A,2
La grant doulceur de vostre cler visaige,None,None,23,None,D,25,Plagal,Authentic,Plagal+Plagal,G,G+G,3
La grant doulceur de vostre cler visaige,None,None,40,None,G,42,Authentic,Phrygian+Phrygian,None,D+D,None,3
La grant doulceur de vostre cler visaige,None,None,33,None,D,35,Phrygian,Plagal+Plagal,Authentic+Authentic,G+G,G+G,3
La grant doulceur de vostre cler visaige,None,None,28,None,G,30,Plagal,Plagal+Phrygian,Phrygian+Phrygian,D+A,D+D,3
A tout jamais d'un vouloir immortel,None,None,17,None,G,8,Authentic,Authentic,Authentic,D,B-flat,-8
A tout jamais d'un vouloir immortel,None,None,8,None,D,9,Authentic,Authentic,Authentic,G,D,2
A tout jamais d'un vouloir immortel,None,None,55,None,D,56,Plagal,Authentic,Plagal,G,D,2
A tout jamais d'un vouloir immortel,None,None,53,None,G,55,Authentic,Authentic,Plagal+Plagal,D,D+D,3
A tout jamais d'un vouloir immortel,None,None,50,None,D,52,Authentic,Authentic,Authentic,D,G,3
A tout jamais d'un vouloir immortel,None,None,40,None,D,41,Authentic,Authentic,Authentic,D,D,2
A tout jamais d'un vouloir immortel,None,None,34,None,D,36,Authentic,Authentic,Authentic,G,D,3
A tout jamais d'un vouloir immortel,None,None,31,None,G,32,Authentic,Authentic+Authentic,Authentic,F+F,D,2
A tout jamais d'un vouloir immortel,None,None,23,None,F,25,Authentic,Authentic,Authentic,B-flat,G,3
A tout jamais d'un vouloir immortel,None,None,18,None,B-flat,19,Authentic,Authentic+Authentic,Authentic+Authentic,D+G,F+F,2
A tout jamais d'un vouloir immortel,None,None,9,None,D,10,Authentic,Authentic+Authentic,Authentic+Authentic,G+D,G+B-flat,2
A tout jamais d'un vouloir immortel,None,None,3,None,G,5,Authentic,None,Authentic+Authentic,None,D+D,3
Si m'amie a de fermeté,None,None,27,None,B-flat,28,Authentic,NoCadence+Plagal,Authentic,None+D,G,2
Si m'amie a de fermeté,None,None,22,None,D,23,Plagal,Authentic,NoCadence+Authentic,B-flat,None+B-flat,2
Si m'amie a de fermeté,S,None,4,T,B-flat,5,Authentic,None,Authentic,None,G,2
Prendre plaisir en aymant loyaulment,None,None,31,None,G,34,Authentic,Authentic+Authentic,None,D+D,None,4
Prendre plaisir en aymant loyaulment,None,None,27,None,D,29,Authentic,Authentic+Authentic,Authentic+Authentic,D+D,G+G,3
Prendre plaisir en aymant loyaulment,None,None,17,None,D,22,Authentic,Authentic,Authentic+Authentic,D,D+D,6
Prendre plaisir en aymant loyaulment,None,None,17,None,G,18,Authentic,Authentic,Authentic,D,D,2
Prendre plaisir en aymant loyaulment,None,None,15,None,D,16,Authentic,Authentic,Authentic+Authentic,G,D+G,2
Prendre plaisir en aymant loyaulment,None,None,10,None,G,12,Authentic,Authentic,Authentic,D,D,3
Prendre plaisir en aymant loyaulment,None,None,5,None,D,6,Authentic,None,Authentic,None,G,2
Quand suis au lict pour prendre mon repos,None,None,28,None,G,30,Authentic,Authentic,None,D,None,3
Quand suis au lict pour prendre mon repos,None,None,22,None,D,23,Authentic,Plagal,Authentic+Authentic,D,G+G,2
Quand suis au lict pour prendre mon repos,None,None,18,None,None,18,NoCadence,Authentic+Authentic,Plagal,C+C,D,1
Quand suis au lict pour prendre mon repos,None,None,13,None,C,15,Authentic,Authentic+Authentic,NoCadence+Plagal,G+G,None+D,3
Quand suis au lict pour prendre mon repos,None,None,8,None,G,10,Authentic,Authentic,Authentic+Authentic,D,C+C,3
Quand suis au lict pour prendre mon repos,None,None,4,None,D,4,Authentic,Authentic,Authentic+Authentic,D,G+G,1
Monsieur l'Abbé et monsieur son vallet,None,None,75,None,G,77,Authentic,Authentic,None,D,None,3
Monsieur l'Abbé et monsieur son vallet,None,None,73,None,D,75,Authentic,Authentic,Authentic,D,G,3
Monsieur l'Abbé et monsieur son vallet,None,None,71,None,D,72,Authentic,Plagal,Authentic,D,D,2
Monsieur l'Abbé et monsieur son vallet,None,None,68,None,D,71,Plagal,Authentic+Authentic+Phrygian,Authentic,G+None+A,D,4
Monsieur l'Abbé et monsieur son vallet,None,None,61,None,None,63,Authentic,NoCadence,Phrygian+Plagal,None,A+D,3
Monsieur l'Abbé et monsieur son vallet,None,None,58,None,None,58,NoCadence,NoCadence,Authentic+Authentic,None,G+None,1
Monsieur l'Abbé et monsieur son vallet,None,None,43,None,D,44,Authentic,Authentic+Authentic,Authentic,G+D,G,2
Monsieur l'Abbé et monsieur son vallet,None,None,19,None,G,21,Authentic,Authentic+Authentic+Authentic,Authentic+Authentic,D+D+G,D+D,3
Monsieur l'Abbé et monsieur son vallet,None,None,11,None,D,13,Authentic,None,Authentic+Authentic,None,G+G,3
"Ce n'est poinct moy, mon oeil, qui te travaille",None,None,3,None,A,3,Phrygian,NoCadence,Authentic,None,D,1
Recepte pour un flux de bourse,None,None,32,None,G,34,Authentic,CadInCad+CadInCad+Authentic,Plagal,C+C+C,G,3
Recepte pour un flux de bourse,None,None,28,None,G,29,Authentic,NoCadence,CadInCad+Authentic,None,C+C,2
Recepte pour un flux de bourse,None,None,21,None,C,22,Authentic,Authentic+Authentic,Authentic+Authentic,C+C,C+C,2
Recepte pour un flux de bourse,None,None,18,None,C,20,Authentic,NoCadence,Authentic+Authentic,None,C+C,3
Recepte pour un flux de bourse,None,None,6,None,G,8,Authentic,Authentic,NoCadence,G,None,3
Recepte pour un flux de bourse,None,None,4,None,G,5,Authentic,Authentic,Authentic+Authentic,G,G+G,2
Recepte pour un flux de bourse,None,None,2,None,G,4,Authentic,None,Authentic,None,G,3
Tels menus plaidz conferment les amours,None,None,35,None,G,37,Authentic,Plagal,None,C,None,3
Tels menus plaidz conferment les amours,None,None,32,None,C,33,Plagal,Authentic,Authentic+Authentic,C,G+G,2
Tels menus plaidz conferment les amours,None,None,25,None,C,26,Authentic,Authentic,Authentic,C,C,2
Tels menus plaidz conferment les amours,None,None,21,None,C,22,Authentic,NoCadence,Authentic,None,C,2
Tels menus plaidz conferment les amours,None,None,19,None,None,19,NoCadence,Authentic+NoCadence,Authentic,C+None,C,1
Tels menus plaidz conferment les amours,None,None,11,None,G,12,Authentic,Authentic+Authentic,NoCadence+Authentic+NoCadence,G+G,None+C+None,2
Tels menus plaidz conferment les amours,None,None,3,None,G,5,Authentic,Authentic,Authentic+Authentic,C,G+G,3
Tels menus plaidz conferment les amours,None,None,1,None,C,2,Authentic,None,Authentic+Authentic,None,G+G,2
Jamais amour sans guerre n'est parfaict,None,None,32,None,C,33,Authentic,Authentic+NoCadence,Authentic+Authentic,C+None,G+G,2
Jamais amour sans guerre n'est parfaict,None,None,19,None,None,19,NoCadence,Plagal,Authentic,G,C,1
Jamais amour sans guerre n'est parfaict,None,None,34,None,G,36,Authentic,Authentic,None,C,None,3
Jamais amour sans guerre n'est parfaict,None,None,30,None,C,31,Authentic,Authentic,NoCadence+Authentic,C,None+C,2
Jamais amour sans guerre n'est parfaict,None,None,27,None,C,28,Authentic,Authentic,Authentic+NoCadence,C,C+None,2
Jamais amour sans guerre n'est parfaict,None,None,22,None,C,23,Authentic,Authentic,Authentic,C,C,2
Jamais amour sans guerre n'est parfaict,None,None,19,None,C,20,Authentic,Plagal+NoCadence,Authentic,G+None,C,2
Jamais amour sans guerre n'est parfaict,None,None,16,None,G,16,Plagal,Authentic+Plagal,NoCadence+Authentic,G+G,None+C,1
Jamais amour sans guerre n'est parfaict,None,None,11,None,G,12,Authentic,Authentic+Authentic,Plagal+Plagal,C+C,G+G,2
Jamais amour sans guerre n'est parfaict,None,None,5,None,C,7,Authentic,None,Authentic,None,G,3
Qui diable nous a faict ces jours,None,None,36,None,G,37,Authentic,Plagal,None,E,None,2
Qui diable nous a faict ces jours,None,None,33,None,E,34,Plagal,Authentic,Authentic,C,G,2
Qui diable nous a faict ces jours,None,None,30,None,None,31,NoCadence,Authentic,Authentic,C,C,2
Qui diable nous a faict ces jours,None,None,28,None,C,29,Authentic,Authentic,NoCadence+Authentic,C,None+C,2
Qui diable nous a faict ces jours,None,None,22,None,C,23,Authentic,NoCadence,Authentic,None,C,2
Qui diable nous a faict ces jours,None,None,18,None,None,19,NoCadence,NoCadence+Phrygian,Authentic,None+E,C,2
Qui diable nous a faict ces jours,None,None,15,None,None,16,NoCadence,Plagal+Plagal,NoCadence,C+C,None,2
Qui diable nous a faict ces jours,None,None,11,None,C,14,Plagal,Plagal+Plagal,NoCadence+Phrygian,C+D,None+E,4
Qui diable nous a faict ces jours,None,None,10,None,D,11,Plagal,Plagal,Plagal,C,C,2
Qui diable nous a faict ces jours,None,None,6,None,C,7,Plagal,None,Plagal+Plagal,None,D+C,2
Jehan se jouant un jour avec Jehannette,None,None,43,None,C,44,Authentic,Plagal,None,C,None,2
Jehan se jouant un jour avec Jehannette,None,None,38,None,C,39,Plagal,Authentic+Authentic,Authentic,G+G,C,2
Jehan se jouant un jour avec Jehannette,None,None,34,None,G,35,Authentic,Authentic,Plagal,C,C,2
Quand tant me mectz devant mes yeulx,None,None,18,None,G,19,Authentic,Phrygian+Phrygian+Phrygian,Authentic+Authentic,A+D+D,G+C,2
Quand tant me mectz devant mes yeulx,None,None,20,None,G,22,Authentic,Authentic,Authentic,G,G,3
Quand tant me mectz devant mes yeulx,None,None,16,None,D,17,Phrygian,NoCadence,Phrygian+Authentic,None,D+G,2
Quand tant me mectz devant mes yeulx,None,None,14,None,None,15,NoCadence,Phrygian,Phrygian+Phrygian+Phrygian,A,A+D+D,2
Quand tant me mectz devant mes yeulx,None,None,10,None,None,11,NoCadence,Authentic+Authentic,NoCadence+Phrygian,G+F,None+A,2
Quand tant me mectz devant mes yeulx,None,None,3,None,D,4,Plagal,Authentic,Authentic+Authentic,C,F+G,2
Quand tant me mectz devant mes yeulx,None,None,5,None,G,7,Authentic,Plagal,Authentic,D,G,3
Jehan se jouant un jour avec Jehannette,None,None,31,None,C,31,Authentic,NoCadence,Authentic+Authentic,None,G+G,1
Jehan se jouant un jour avec Jehannette,None,None,25,None,None,26,NoCadence,Authentic+Authentic,Authentic,G+G,C,2
Jehan se jouant un jour avec Jehannette,None,None,21,None,G,24,Authentic,CAD NDLT+CAD NDLT,NoCadence,G+G,None,4
Jehan se jouant un jour avec Jehannette,None,None,19,None,G,21,CAD NDLT,Authentic+Phrygian,Authentic,C+E,G,3
Jehan se jouant un jour avec Jehannette,None,None,14,None,C,15,Authentic,Plagal,CAD NDLT+CAD NDLT,C,G+G,2
Jehan se jouant un jour avec Jehannette,None,None,6,None,C,7,Authentic,Plagal,Plagal,E,C,2
Jehan se jouant un jour avec Jehannette,None,None,3,None,E,3,Plagal,None,Authentic,None,C,1
Quelque yvrongne de par le monde,None,None,43,None,C,45,CadInCad,Authentic,None,C,None,3
Quelque yvrongne de par le monde,None,None,37,None,None,37,NoCadence,NoCadence,Authentic,None,C,1
Quelque yvrongne de par le monde,None,None,34,None,G,35,Authentic,Authentic+Authentic,NoCadence,G+G,None,2
Quelque yvrongne de par le monde,None,None,27,None,G,29,Authentic,NoCadence,Authentic+Authentic,None,G+G,3
Quelque yvrongne de par le monde,None,None,25,None,None,25,NoCadence,NoCadence,Authentic+CAD NDLT+Authentic,None,G+G+G,1
Quelque yvrongne de par le monde,None,None,19,None,G,20,Authentic,NoCadence,NoCadence,None,None,2
Quelque yvrongne de par le monde,None,None,16,None,None,17,NoCadence,Authentic+Authentic,Authentic,C+C,G,2
Quelque yvrongne de par le monde,None,None,12,None,C,14,Authentic,Authentic,NoCadence,C,None,3
Quelque yvrongne de par le monde,None,None,7,None,C,8,Authentic,NoCadence+NoCadence,Authentic+Authentic,None+None,C+C,2
Quelque yvrongne de par le monde,None,None,6,None,None,6,NoCadence,NoCadence,Authentic,None,C,1
"Si je te voy, qui est ce que desire",None,None,38,None,C,40,Authentic,Authentic+Authentic,None,C+C,None,3
"Si je te voy, qui est ce que desire",None,None,24,None,C,26,Authentic,NoCadence+NoCadence,Authentic,None+None,C,3
"Si je te voy, qui est ce que desire",None,None,20,None,None,22,NoCadence,Authentic+Plagal,Authentic+Authentic,C+C,C+C,3
"Si je te voy, qui est ce que desire",None,None,12,None,C,13,Authentic,Authentic,Plagal+NoCadence+NoCadence,C,C+None+None,2
"Si je te voy, qui est ce que desire",None,None,5,None,E,6,Plagal,Authentic,Authentic,C,C,2
Puisqu'à t'aimer ne reçoy que tourment,None,None,17,None,G,19,Authentic,Authentic+Authentic,None,G+G,None,3
Puisqu'à t'aimer ne reçoy que tourment,None,None,13,None,G,15,Authentic,Authentic+Authentic,Authentic+Authentic,C+C,G+G,3
Puisqu'à t'aimer ne reçoy que tourment,None,None,8,None,C,10,Authentic,Authentic,Authentic+Authentic,C,G+G,3
Puisqu'à t'aimer ne reçoy que tourment,None,None,3,None,C,4,Authentic,None,Authentic+Authentic,None,C+C,2
Un jour dormoit Colin en my des prez,None,None,42,None,F,43,Authentic,Authentic,None,F,None,2
Un jour dormoit Colin en my des prez,None,None,36,None,C,37,Authentic,CAD NDLT,Authentic,F,F,2
Un jour dormoit Colin en my des prez,None,None,33,None,F,34,CAD NDLT,Authentic+Authentic+Authentic+CAD NDLT,Authentic+Authentic,C+C+C+F,C+C,2
Un jour dormoit Colin en my des prez,None,None,27,None,C,29,Authentic,Authentic+Authentic,CAD NDLT+CAD NDLT,C+C,F+F,3
Un jour dormoit Colin en my des prez,None,None,25,None,C,26,Authentic,Plagal,Authentic+Authentic+Authentic,G,C+C+C,2
Un jour dormoit Colin en my des prez,None,None,22,None,G,23,Plagal,Authentic+Authentic,Authentic+Authentic,F+F,C+C,2
Un jour dormoit Colin en my des prez,None,None,17,None,F,18,Authentic,Authentic+NoCadence,Plagal,C+None,G,2
Un jour dormoit Colin en my des prez,None,None,13,None,C,14,Authentic,Authentic,Authentic+Authentic,F,F+F,2
